Species,Lat.mean,T.binary
Xylosma_chlorantha,13.0348462101266,1
Xylonagra_arborea,28.6976721855935,0
Xylocarpus_moluccensis,-12.8949135206422,1
Xylocarpus_granatum,-11.4955779483662,1
Xylia_torreana,-19.6015956666667,1
Xylia_hoffmannii,-13.9394303552632,1
Xylia_africana,-10.5455541666667,1
Xiphotheca_tecta,-33.791207627907,0
Xiphotheca_reflexa,-33.826361030303,0
Xiphotheca_phylicoides,-33.8541085,0
Xiphotheca_lanceolata,-33.9057664857143,0
Xiphotheca_guthriei,-34.2816411052632,0
Xiphotheca_fruticosa,-33.9913965,0
Xiphotheca_elliptica,-33.69177,0
Xiphotheca_cordifolia,-31.375,0
Xiphotheca_canescens,-31.2994666666667,0
Xerospiraea_hartwegiana,19.7535513754223,1
Xerospermum_noronhianum,6.03039552244898,1
Xerosicyos_tripartitus,-24.512223125,0
Xerosicyos_pubescens,-22.22,1
Xerosicyos_perrieri,-23.9547474090909,0
Xerosicyos_decaryi,-21.6583321818182,1
Xerosicyos_danguyi,-22.6038189344262,1
Xerodraba_pycnophylloides,-50.8750695,0
Xerodraba_pectinata,-50.5514812666667,0
Xerodraba_patagonica,-49.8779545454545,0
Xeroderris_stuhlmannii,7.36306941666667,1
Xerocladia_viridiramis,-26.7110625,0
Xanthostemon_chrysanthus,-15.9135971975806,1
Xanthostemon_aurantiacus,-22.2137564210526,1
Xanthophyllum_papuanum,-5.80143263636364,1
Xanthophyllum_octandrum,-16.6388933936782,1
Xanthophyllum_hainanense,19.9444032272727,1
Xanthomyrtus_papuana,-6.7721381627907,1
Xanthocercis_zambesiaca,-22.5866861204819,1
Xanthocercis_rabiensis,-1.8516656625,1
Xanthoceras_sorbifolium,3.8811,1
Wurdastom_cuatrecasasii,3.97501542857143,1
Woodfordia_fruticosa,8.87216022330097,1
Wisteria_villosa,31.5670348,0
Wisteria_sinensis,38.9678743960608,0
Wisteria_frutescens,34.8629876333646,0
Wisteria_floribunda,36.6167916924875,0
Wisteria_brachybotrys,34.0519920365034,0
Wissadula_periplocifolia,7.83022739211497,1
Wissadula_excelsior,4.99795967818634,1
Wissadula_cruziana,-17.9957523333333,1
Wissadula_boliviana,-16.9105403157895,1
Wislizenia_refracta,33.0344083223286,0
Wislizenia_californica,36.90585,0
Wimmeria_persicifolia,18.8961978435294,1
Wimmeria_concolor,20.8511880501641,1
Wimmeria_bartlettii,17.2405828404504,1
Willardia_parviflora,18.4554166,1
Willardia_mexicana,23.4078959203519,1
