Species,Tm.mean
Wisteria_floribunda,118.571428571429
Wisteria_brachybotrys,137.852941176471
Wissadula_periplocifolia,252.801587301587
Wissadula_excelsior,240.522222222222
Wissadula_cruziana,231
Wissadula_boliviana,215.105263157895
Wislizenia_refracta,176.172413793103
Wimmeria_persicifolia,198.931034482759
Wimmeria_concolor,214.309523809524
Wimmeria_bartlettii,227.903225806452
Willardia_parviflora,237.5
Willardia_mexicana,228.676470588235
Wilbrandia_verticillata,215.5
Wilbrandia_longisepala,197.541666666667
Wilbrandia_ebracteata,193.166666666667
Wikstroemia_nutans,205.84
Wikstroemia_monnula,181.548387096774
Wikstroemia_indica,196.094827586207
Wikstroemia_canescens,132.125
Wielandia_elegans,226.214285714286
Wiborgia_tetraptera,170.8
Wiborgia_sericea,170.555555555556
Wiborgia_obcordata,164.076923076923
Wiborgia_mucronata,163.740740740741
Wiborgia_monoptera,171.966666666667
Wiborgia_incurvata,158
Wiborgia_fusca,172.36
Whiteodendron_moultonianum,261.529411764706
Wetria_insignis,252
Wetria_australiensis,245
Wenzelia_dolichophylla,248.8
Wendtia_gracilis,68.5
Welchiodendron_longivalve,262.609195402299
Weinmannia_vescoi,248.6
Weinmannia_trichosperma,98.7674418604651
Weinmannia_tomentosa,111.076923076923
Weinmannia_silvicola,146.348837209302
Weinmannia_serrata,210.785714285714
Weinmannia_sanguisugarum,207.857142857143
Weinmannia_samoensis,231.6
Weinmannia_rutenbergii,194.571428571429
Weinmannia_racemosa,112.066666666667
Weinmannia_parviflora,184
Weinmannia_ovata,187.466666666667
Weinmannia_minutiflora,192.75
Weinmannia_marojejyensis,190.5
Weinmannia_madagascariensis,205.25
Weinmannia_karsteniana,149.5
Weinmannia_fraxinea,235.047619047619
Weinmannia_dichotoma,192.55
Weinmannia_clemensiae,144.333333333333
Weinmannia_bojeriana,194.4
Weinmannia_bangii,164.333333333333
Weinmannia_auriculata,129.4
Weddellina_squamulosa,259.029411764706
Weberbauerella_brongniartioides,193.875
Weberbauera_peruviana,94.6
Weberbauera_herzogii,105
Weberbauera_colchaguensis,69.6
Warneckea_yangambensis,242.4375
Warneckea_wildeana,241
Warneckea_sousae,230.75
Warneckea_sapinii,247.8
Warneckea_sansibarica,242.55
Warneckea_pulcherrima,235.25
Warneckea_membranifolia,249.052631578947
Warneckea_melindensis,250.875
Warneckea_masoalae,229
Warneckea_hedbergiorum,228.909090909091
Warneckea_fosteri,244.5
Warneckea_fascicularis,239.75
Warneckea_amaniensis,228.090909090909
Warea_sessilifolia,191.388888888889
Warea_cuneifolia,192.642857142857
Warea_amplexifolia,219.75
Waltheria_indica,241.668367346939
Waltheria_glomerata,249.683168316832
Walsura_tubulata,244
Wallaceodendron_celebicum,240
Wajira_praecox,240.533333333333
Wajira_grahamiana,242.875
Vouarana_guianensis,256.818181818182
Vouacapoua_macropetala,267.5
Votomita_guianensis,255.473684210526
Vochysia_tucanorum,206.336363636364
Vochysia_rufescens,264.8
Vochysia_hondurensis,248.388888888889
Vochysia_guatemalensis,243.931818181818
Vochysia_ferruginea,247.038461538462
Viviania_ovata,84.8888888888889
Viviania_marifolia,88.8367346938775
Viviania_crenata,119.444444444444
Vitis_vulpina,128.528735632184
Vitis_vinifera,107.114754098361
Vitis_tiliifolia,221.065843621399
Vitis_rupestris,134.219512195122
Vitis_rotundifolia,187.965367965368
Vitis_riparia,86.992277992278
Vitis_quinquangularis,165.59375
Vitis_palmata,153
Vitis_monticola,182.2
Vitis_labrusca,106.433155080214
Vitis_japonica,114
Vitis_jacquemontii,141.454545454545
Vitis_heyneana,162.560975609756
Vitis_girdiana,163.4
Vitis_flexuosa,129.704545454545
Vitis_ficifolia,149.404494382022
Vitis_davidii,160.877192982456
Vitis_cordifolia,100.875
Vitis_coignetiae,90.0693069306931
Vitis_cinerea,168.505882352941
Vitis_californica,142.275555555556
Vitis_bryoniifolia,181.392156862745
Vitis_betulifolia,146.55
Vitis_bellula,171.6
Vitis_arizonica,142.985781990521
Vitis_amurensis,68.1764705882353
Vitis_aestivalis,127.69696969697
Vitis_acerifolia,124.25
Vismia_rubescens,247.357142857143
Vismia_macrophylla,256.367647058824
Vismia_guineensis,253.8
Vismia_guianensis,241.454545454545
Vismia_gracilis,242.79797979798
Vismia_ferruginea,240.75
Vismia_cayennensis,257.101851851852
Vismia_billbergiana,247.965517241379
Vismia_baccifera,224.270833333333
Viscainoa_geniculata,201.590909090909
Viridivia_suberosa,214.166666666667
Virgilia_oroboides,156.048780487805
Virgilia_divaricata,158.921052631579
Viola_yunnanfuensis,165.333333333333
Viola_yunnanensis,190.466666666667
Viola_yezoensis,120.5
Viola_violacea,125.53
Viola_verecunda,112.677966101695
Viola_variegata,86.2333333333333
Viola_tricolor,65.1900452488688
Viola_triangulifolia,178
Viola_tokubuchiana,107.358974358974
Viola_thomasiana,32.7906976744186
Viola_tenuicornis,111.142857142857
Viola_tashiroi,212.375
Viola_suavis,99.8350515463918
Viola_stewardiana,167.863636363636
Viola_sororia,122.051903114187
Viola_sieboldii,111.04347826087
Viola_selkirkii,31.4871794871795
Viola_sagittata,103.706214689266
Viola_sacchalinensis,8.2
Viola_rupestris,48.7443609022556
Viola_rostrata,94.3865030674847
Viola_rossii,105.9375
Viola_riviniana,63.614406779661
Viola_renifolia,22.9940119760479
Viola_reichenbachiana,80.7224669603524
Viola_raddeana,141
Viola_pyrenaica,70.9090909090909
Viola_pubescens,94.9915611814346
Viola_prionantha,169.652173913043
Viola_pinnata,32.1875
Viola_philippica,169.684210526316
Viola_phalacrocarpa,119.889830508475
Viola_pekinensis,105.666666666667
Viola_patrinii,99.36
Viola_palustris,48.7702127659574
Viola_orientalis,64.5454545454545
Viola_odorata,84.2836538461538
Viola_mucronulifera,178.923076923077
Viola_moupinensis,157.823529411765
Viola_mirabilis,50.2900763358779
Viola_mandshurica,130.404255319149
Viola_magnifica,156.75
Viola_macloskeyi,46.156862745098
Viola_lutea,65.9555555555555
Viola_lucens,187.166666666667
Viola_lactiflora,179.8
Viola_lactea,114.085106382979
Viola_labradorica,58.5509433962264
Viola_kusanoana,104.063157894737
Viola_kosanensis,168.625
Viola_keiskei,122.922413793103
Viola_jaubertiana,144.090909090909
Viola_japonica,141.285714285714
Viola_inconspicua,178.444444444444
Viola_hondoensis,123.095652173913
Viola_hirtipes,85.4210526315789
Viola_hirta,72.1967213114754
Viola_hancockii,112.25
Viola_grypoceras,107.376146788991
Viola_grandisepala,160.2
Viola_fargesii,111.444444444444
Viola_eizanensis,108.203389830508
Viola_dissecta,10.36
Viola_disjuncta,-24.5
Viola_diffusa,169.116666666667
Viola_delavayi,125.16
Viola_decumbens,151.185185185185
Viola_davidii,158.052631578947
Viola_dactyloides,-9.09090909090909
Viola_cucullata,84.6613545816733
Viola_collina,43.0786516853933
Viola_chaerophylloides,123.466666666667
Viola_canina,54.232044198895
Viola_canadensis,73.0989010989011
Viola_brevistipulata,94.2222222222222
Viola_blanda,74.9230769230769
Viola_biflora,11.6995073891626
Viola_betonicifolia,127
Viola_arvensis,69.5
Viola_arcuata,112.825
Viola_ambigua,75.0588235294118
Viola_albida,114.866666666667
Viola_alba,110.387387387387
Viola_adunca,56.0763052208835
Viola_acuminata,78.5882352941177
Vigna_vexillata,231.612903225806
Vigna_unguiculata,233.105263157895
Vigna_umbellata,232.255813953488
